Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
1,Nicolás Acevedo,uy URU,LT,Bahia,23,1999,31,21,1.970,21.9,0,0,0,0,0,0,7,1,0.9,0.9,1.2,2.1,29,112,36,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10
2,Luiz Adriano,br BRA,AT,Internacional,35,1987,29,17,1.330,14.8,3,1,4,3,0,0,1,1,2.6,2.6,1.3,3.9,3,23,49,0.20,0.07,0.27,0.20,0.27,0.18,0.09,0.27,0.18,0.27
3,Adriel,br BRA,G,Grêmio,22,2001,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Adryelson,br BRA,ZG,Botafogo (RJ),24,1998,35,35,2.996,33.3,1,1,2,1,0,0,6,1,1.1,1.1,0.3,1.4,2,56,3,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04
5,Adson,br BRA,AT.LT,Corinthians,22,2000,15,9,857,9.5,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.4,49,53,68,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15
6,Adyson,br BRA,AT.LT,América (MG),17,2005,8,1,245,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,17,17,42,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21
7,Washington Aguerre,uy URU,G,América (MG),29,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Carlos Alberto,br BRA,AT.LT,Botafogo (RJ),20,2002,15,1,296,3.3,2,0,2,2,0,0,0,0,1.1,1.1,0.2,1.4,10,9,29,0.61,0.00,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42
9,Yuri Alberto,br BRA,AT,Corinthians,21,2001,34,32,2.722,30.2,8,3,11,8,0,0,6,0,10.0,10.0,2.7,12.7,41,28,204,0.26,0.10,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42
10,Ale,br BRA,LT,América (MG),32,1990,27,14,1.424,15.8,1,0,1,1,0,0,7,1,1.8,1.8,1.4,3.2,29,110,37,0.06,0.00,0.06,0.06,0.06,0.12,0.09,0.20,0.12,0.20
11,Alexandre Alemão,br BRA,AT,Internacional,24,1998,9,3,340,3.8,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.4,7,7,37,0.26,0.00,0.26,0.26,0.26,0.33,0.04,0.36,0.33,0.36
12,Alerrandro,br BRA,AT.LT,Red Bull Bragantino,23,2000,14,2,405,4.5,1,0,1,1,0,0,3,1,3.1,3.1,0.2,3.2,3,9,20,0.22,0.00,0.22,0.22,0.22,0.68,0.03,0.71,0.68,0.71
13,Alesson,br BRA,AT.LT,Goiás,23,1999,23,3,655,7.3,2,1,3,2,0,0,3,0,1.1,1.1,0.5,1.7,23,9,68,0.27,0.14,0.41,0.27,0.41,0.16,0.07,0.23,0.16,0.23
