Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
156,Clayson,br BRA,AT.LT,Cuiabá,27,1995,23,22,1.639,18.2,7,2,9,4,3,3,3,1,4.5,2.1,1.9,4.0,50,68,124,0.38,0.11,0.49,0.22,0.33,0.25,0.11,0.35,0.12,0.22
157,Mateus Cocão,br BRA,LT,Vasco da Gama,20,2002,9,3,347,3.9,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1.0,0,23,6,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.26,0.10,0.26
158,Diego Costa,es ESP,AT,Botafogo (RJ),34,1988,13,3,517,5.7,3,0,3,3,0,0,6,0,1.9,1.9,0.1,2.0,9,14,42,0.52,0.00,0.52,0.52,0.52,0.33,0.02,0.35,0.33,0.35
159,Philippe Costa,br BRA,AT,Goiás,22,2000,4,0,109,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,0,2,4,0.00,0.00,0.00,0.00,0.00,0.19,0.47,0.66,0.19,0.66
160,Talles Costa,br BRA,LT.AT,São Paulo,20,2002,7,1,135,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,5,10,6,0.00,0.00,0.00,0.00,0.00,0.16,0.01,0.17,0.16,0.17
161,Lucas Crispim,br BRA,LT.ZG,Fortaleza,28,1994,17,5,488,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.7,11,49,23,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
162,Franco Cristaldo,ar ARG,LT.AT,Grêmio,26,1996,34,31,2.131,23.7,8,5,13,5,3,4,0,0,6.6,3.6,4.5,8.1,23,131,142,0.34,0.21,0.55,0.21,0.42,0.28,0.19,0.47,0.15,0.34
163,Tomás Cuello,ar ARG,LT.AT,Ath Paranaense,22,2000,32,22,2.055,22.8,0,4,4,0,0,0,5,0,1.5,1.5,4.7,6.2,81,71,173,0.00,0.18,0.18,0.00,0.18,0.07,0.20,0.27,0.07,0.27
164,Víctor Cuesta,ar ARG,ZG,Botafogo (RJ),34,1988,35,35,3.150,35.0,1,1,2,1,0,0,9,0,2.4,2.2,0.8,3.0,10,120,7,0.03,0.03,0.06,0.03,0.06,0.07,0.02,0.09,0.06,0.09
165,Cuiabano,br BRA,ZG.LT,Grêmio,19,2003,11,5,490,5.4,1,0,1,1,0,0,3,0,0.7,0.7,0.2,0.9,13,16,34,0.18,0.00,0.18,0.18,0.18,0.14,0.03,0.17,0.14,0.17
166,Lucas Cunha,br BRA,ZG,Red Bull Bragantino,26,1997,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
167,Matheus Cunha,br BRA,G,Flamengo,21,2001,19,18,1.580,17.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Ian Custódio,br BRA,ZG,Palmeiras,19,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,João Dalla Corte,br BRA,ZG,Internacional,16,2006,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Danielzinho,br BRA,AT.LT,Bahia,27,1996,5,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,4,20,4,0.00,0.00,0.00,0.00,0.00,0.05,0.27,0.31,0.05,0.31
171,Danielzinho,br BRA,AT,Ath Paranaense,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Danielzinho,br BRA,LT,Fluminense,27,1996,12,8,612,6.8,0,0,0,0,0,0,1,0,0.4,0.4,1.3,1.6,19,65,21,0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.24,0.05,0.24
173,David,br BRA,AT.LT,São Paulo,27,1995,22,6,733,8.1,2,2,4,2,0,0,5,0,3.1,3.1,1.2,4.3,24,25,80,0.25,0.25,0.49,0.25,0.49,0.38,0.14,0.52,0.38,0.52
174,Giorgian De Arrascaeta,uy URU,LT.AT,Flamengo,28,1994,28,22,1.842,20.5,7,6,13,7,0,0,3,0,4.9,4.9,5.6,10.5,38,152,170,0.34,0.29,0.64,0.34,0.64,0.24,0.27,0.51,0.24,0.51
175,Sergio Antonio De Luiz Junior,br BRA,LT.ZG,Vasco da Gama,27,1995,9,5,359,4.0,2,0,2,2,0,0,2,0,1.4,1.4,0.4,1.7,4,10,32,0.50,0.00,0.50,0.50,0.50,0.34,0.09,0.43,0.34,0.43
176,Denilson,br BRA,LT,Cuiabá,21,2001,33,23,1.908,21.2,1,3,4,1,0,0,8,0,1.3,1.3,2.6,3.9,35,128,63,0.05,0.14,0.19,0.05,0.19,0.06,0.12,0.18,0.06,0.18
177,Denzel,br BRA,AT,Goiás,20,2003,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Deyverson,br BRA,AT,Cuiabá,31,1991,36,34,2.906,32.3,12,2,14,9,3,4,6,0,12.3,9.4,2.7,12.1,17,73,152,0.37,0.06,0.43,0.28,0.34,0.38,0.08,0.46,0.29,0.37
179,Leonel Di Plácido,ar ARG,ZG,Botafogo (RJ),29,1994,32,25,2.355,26.2,1,4,5,1,0,0,5,0,0.2,0.2,2.5,2.7,57,106,84,0.04,0.15,0.19,0.04,0.19,0.01,0.09,0.10,0.01,0.10
180,Gabriel Dias,br BRA,ZG,Vasco da Gama,28,1994,1,0,12,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Jean Dias,br BRA,AT.LT,Internacional,32,1990,10,1,321,3.6,1,1,2,1,0,0,1,0,1.0,1.0,0.3,1.3,12,5,26,0.28,0.28,0.56,0.28,0.56,0.28,0.09,0.37,0.28,0.37
182,Luan Dias,br BRA,LT.AT,Santos,25,1997,8,1,191,2.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,7,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
183,Matheus Dias,br BRA,LT.AT,Internacional,25,1997,14,6,405,4.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.3,9,16,16,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06
184,Diego,br BRA,ZG,São Paulo,23,1999,23,20,1.744,19.4,0,0,0,0,0,0,6,0,0.6,0.6,0.1,0.6,2,61,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
185,Dieguinho,br BRA,ZG.AT,Goiás,27,1995,15,12,1.080,12.0,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,27,42,34,0.00,0.08,0.08,0.00,0.08,0.03,0.07,0.10,0.03,0.10
186,Diogo,br BRA,AT.LT,Coritiba,26,1996,15,9,756,8.4,1,1,2,1,0,0,2,0,2.7,2.7,0.3,2.9,7,10,26,0.12,0.12,0.24,0.12,0.24,0.32,0.03,0.35,0.32,0.35
187,Dodi,br BRA,LT,Santos,26,1996,28,20,1.721,19.1,0,0,0,0,0,0,10,0,0.9,0.9,0.5,1.4,19,27,18,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
188,Dodô,br BRA,ZG,Atlético Mineiro,30,1992,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
189,Dodô,br BRA,ZG,Santos,30,1992,18,18,1.426,15.8,0,1,1,0,0,0,4,0,0.5,0.5,1.7,2.2,26,82,42,0.00,0.06,0.06,0.00,0.06,0.03,0.11,0.14,0.03,0.14
190,Dodô,br BRA,LT.AT,Goiás,21,2001,15,0,323,3.6,2,0,2,2,0,0,1,0,1.2,1.2,0.4,1.7,7,13,9,0.56,0.00,0.56,0.56,0.56,0.34,0.12,0.46,0.34,0.46
191,Thiago Dombroski,br BRA,ZG,Coritiba,20,2002,7,7,504,5.6,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,5,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
192,Halerrandrio dos Santos,br BRA,LT,Goiás,16,2006,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
193,Thiago dos Santos,br BRA,ZG.LT,Fluminense,33,1989,16,9,819,9.1,0,0,0,0,0,0,7,1,0.2,0.2,0.1,0.3,10,50,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
194,Henrique Dourado,br BRA,AT,Cruzeiro,33,1989,11,2,342,3.8,1,0,1,1,0,0,2,0,2.3,2.3,0.7,3.0,4,4,19,0.26,0.00,0.26,0.26,0.26,0.61,0.17,0.78,0.61,0.78
195,David Duarte,br BRA,ZG,Bahia,28,1995,11,10,867,9.6,1,0,1,1,0,0,3,0,0.6,0.6,0.0,0.6,5,17,0,0.10,0.00,0.10,0.10,0.10,0.06,0.00,0.06,0.06,0.06
196,Dudu,br BRA,LT,Ath Paranaense,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Dudu,br BRA,AT,Palmeiras,31,1992,14,14,1.076,12.0,3,3,6,3,0,0,0,0,2.4,2.4,3.4,5.8,78,74,127,0.25,0.25,0.50,0.25,0.50,0.20,0.28,0.49,0.20,0.49
198,Éberth,br BRA,AT,Coritiba,19,2003,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
199,Edenílson,br BRA,LT.AT,Atlético Mineiro,33,1989,28,15,1.368,15.2,1,2,3,1,0,0,1,0,0.5,0.5,1.8,2.3,24,57,50,0.07,0.13,0.20,0.07,0.20,0.03,0.12,0.15,0.03,0.15
200,Eder,br BRA,ZG,América (MG),27,1995,24,17,1.566,17.4,0,0,0,0,0,0,7,1,0.4,0.4,0.2,0.5,9,54,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
201,EDU,br BRA,ZG,Goiás,22,2000,9,4,435,4.8,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,10,0,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
202,Edu,br BRA,AT.LT,Coritiba,29,1993,10,2,320,3.6,2,0,2,2,0,0,0,0,2.5,2.5,0.4,3.0,5,7,17,0.56,0.00,0.56,0.56,0.56,0.72,0.12,0.83,0.72,0.83
203,Carlos Eduardo,br BRA,LT.AT,Atlético Mineiro,18,2004,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
204,Carlos Eduardo,br BRA,LT,Botafogo (RJ),33,1989,34,32,2.670,29.7,6,6,12,6,0,0,5,1,5.5,5.5,6.0,11.4,35,156,89,0.20,0.20,0.40,0.20,0.40,0.18,0.20,0.38,0.18,0.38
205,Eguinaldo,br BRA,AT.LT,Vasco da Gama,18,2004,4,0,67,0.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13
206,Rafael Elias,br BRA,AT,Cruzeiro,23,1999,12,6,540,6.0,1,0,1,1,0,0,3,0,2.5,2.5,0.5,3.0,8,10,36,0.17,0.00,0.17,0.17,0.17,0.42,0.08,0.50,0.42,0.50
207,Rodrigo Ely,br BRA,ZG,Grêmio,29,1993,9,8,665,7.4,0,0,0,0,0,0,4,0,0.0,0.0,0.1,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
208,Lucas Emmanuel,br BRA,AT,Goiás,22,2000,2,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,Leandro Emmanuel Martínez,ar ARG,LT,América (MG),28,1994,35,29,2.541,28.2,1,5,6,1,0,0,4,0,3.3,3.3,4.5,7.7,70,155,104,0.04,0.18,0.21,0.04,0.21,0.12,0.16,0.27,0.12,0.27
210,Alan Empereur,br BRA,ZG,Cuiabá,28,1994,33,33,2.950,32.8,1,1,2,1,0,0,9,0,0.5,0.5,0.8,1.3,31,138,7,0.03,0.03,0.06,0.03,0.06,0.01,0.02,0.04,0.01,0.04
211,Endrick,br BRA,AT,Palmeiras,16,2006,31,18,1.558,17.3,11,0,11,11,0,1,4,0,8.1,7.3,1.8,9.1,58,45,100,0.64,0.00,0.64,0.64,0.64,0.47,0.11,0.57,0.42,0.53
212,Erick,br BRA,LT,Ath Paranaense,25,1997,33,30,2.499,27.8,4,4,8,4,0,0,7,0,5.4,5.4,3.0,8.4,27,124,37,0.14,0.14,0.29,0.14,0.29,0.19,0.11,0.30,0.19,0.30
213,Erison,br BRA,AT.LT,São Paulo,23,1999,13,3,391,4.3,1,1,2,0,1,1,3,0,1.8,1.0,0.4,1.4,11,2,28,0.23,0.23,0.46,0.00,0.23,0.41,0.10,0.51,0.23,0.33
214,Gonzalo Escobar,ar ARG,ZG,Fortaleza,25,1997,13,6,579,6.4,0,1,1,0,0,0,4,0,0.3,0.3,0.2,0.5,11,25,53,0.00,0.16,0.16,0.00,0.16,0.04,0.04,0.08,0.04,0.08
215,Lucas Esquivel,ar ARG,ZG,Ath Paranaense,21,2001,19,18,1.651,18.3,0,1,1,0,0,0,3,0,0.2,0.2,1.4,1.6,28,69,47,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09
216,Estevão,br BRA,LT,Internacional,20,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19
217,Estevão,br BRA,ZG,Palmeiras,16,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Vitor Eudes,br BRA,G,Fluminense,24,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
219,Lucas Evangelista,br BRA,LT,Red Bull Bragantino,27,1995,33,32,2.722,30.2,1,6,7,1,0,0,6,0,3.7,3.7,7.1,10.8,34,165,151,0.03,0.20,0.23,0.03,0.23,0.12,0.23,0.36,0.12,0.36
220,Everaldo,br BRA,AT.LT,América (MG),28,1994,21,15,1.233,13.7,1,3,4,1,0,0,7,0,1.2,1.2,2.2,3.5,54,52,101,0.07,0.22,0.29,0.07,0.29,0.09,0.16,0.25,0.09,0.25
221,Éverson,br BRA,G,Atlético Mineiro,32,1990,36,36,3.240,36.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
222,Everton,br BRA,AT.LT,Grêmio,25,1997,28,9,1.212,13.5,6,2,8,6,0,0,2,0,3.5,3.5,1.1,4.7,21,50,64,0.45,0.15,0.59,0.45,0.59,0.26,0.08,0.35,0.26,0.35
223,Bruno Fabiano Alves,br BRA,ZG,Grêmio,31,1991,29,27,2.450,27.2,0,0,0,0,0,0,3,1,0.5,0.5,0.0,0.6,6,36,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
224,Fabinho,br BRA,LT,Palmeiras,20,2002,24,3,587,6.5,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,8,44,7,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.12,0.10,0.12
225,Fábio,br BRA,G,Fluminense,42,1980,35,35,3.150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
226,Fábio,br BRA,ZG.LT,Grêmio,32,1990,15,12,871,9.7,0,2,2,0,0,0,5,0,0.2,0.2,0.8,1.0,23,42,70,0.00,0.21,0.21,0.00,0.21,0.02,0.08,0.10,0.02,0.10
227,Fagner,br BRA,ZG,Corinthians,33,1989,30,22,2.095,23.3,0,1,1,0,0,0,10,0,0.3,0.3,2.3,2.6,45,138,83,0.00,0.04,0.04,0.00,0.04,0.01,0.10,0.11,0.01,0.11
228,Willian Farias,br BRA,LT,Coritiba,33,1989,16,11,959,10.7,0,0,0,0,0,0,5,1,0.2,0.2,0.0,0.3,6,41,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03
229,Luiz Felipe,br BRA,ZG,Santos,29,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
230,Marcos Felipe,br BRA,G,Bahia,26,1996,37,37,3.330,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
231,Matheus Felipe,br BRA,ZG,Ath Paranaense,24,1998,9,7,532,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,17,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
232,Danilo Fernandes,br BRA,G,Bahia,34,1988,1,1,37,0.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
233,Lucas Fernandes,br BRA,LT,Botafogo (RJ),25,1997,13,5,473,5.3,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,14,35,27,0.00,0.00,0.00,0.00,0.00,0.21,0.10,0.31,0.21,0.31
234,Matheus Fernandes,br BRA,LT,Red Bull Bragantino,24,1998,33,31,2.336,26.0,1,3,4,1,0,0,8,0,0.8,0.8,1.5,2.3,41,143,46,0.04,0.12,0.15,0.04,0.15,0.03,0.06,0.09,0.03,0.09
235,Nathan Fernandes,br BRA,AT.LT,Grêmio,17,2005,11,2,378,4.2,1,1,2,1,0,0,1,0,1.0,1.0,0.2,1.1,15,10,40,0.24,0.24,0.48,0.24,0.48,0.23,0.04,0.27,0.23,0.27
236,Gatito Fernández,py PAR,G,Botafogo (RJ),34,1988,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
237,Leonardo Fernández,uy URU,LT.AT,Fluminense,24,1998,18,8,658,7.3,1,0,1,1,0,1,2,0,1.5,0.7,1.0,1.7,25,45,69,0.14,0.00,0.14,0.14,0.14,0.20,0.14,0.35,0.10,0.24
238,Rodrigo Fernández,uy URU,LT,Santos,27,1996,30,24,2.014,22.4,1,0,1,1,0,0,12,1,1.0,1.0,0.1,1.1,18,74,8,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05
239,Fernandinho,br BRA,LT,Ath Paranaense,37,1985,25,23,1.935,21.5,1,3,4,0,1,1,11,1,1.2,0.4,2.0,2.4,35,192,52,0.05,0.14,0.19,0.00,0.14,0.06,0.09,0.15,0.02,0.11
240,Fernando,br BRA,ZG,Ath Paranaense,23,1999,6,6,477,5.3,0,2,2,0,0,0,1,0,0.1,0.1,0.9,0.9,17,15,31,0.00,0.38,0.38,0.00,0.38,0.01,0.16,0.17,0.01,0.17
241,Nahuel Ferraresi,ve VEN,AT,São Paulo,24,1998,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
242,Ferreira,br BRA,AT.LT,Grêmio,25,1997,25,6,1.145,12.7,4,3,7,4,0,0,2,0,3.0,3.0,2.3,5.2,53,61,128,0.31,0.24,0.55,0.31,0.55,0.23,0.18,0.41,0.23,0.41
243,Sebastián Ferreira,py PAR,AT.LT,Vasco da Gama,24,1998,13,3,440,4.9,0,1,1,0,0,0,2,0,1.7,1.7,0.3,2.0,3,13,20,0.00,0.20,0.20,0.00,0.20,0.35,0.06,0.40,0.35,0.40
244,Figueiredo,br BRA,AT.LT,Vasco da Gama,21,2001,16,7,656,7.3,0,0,0,0,0,0,2,0,1.8,1.8,0.9,2.7,15,21,65,0.00,0.00,0.00,0.00,0.00,0.24,0.12,0.37,0.24,0.37
245,Tobias Figueiredo,pt POR,ZG,Fortaleza,28,1994,4,4,343,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
246,Matheus França,br BRA,LT.AT,Flamengo,18,2004,9,5,369,4.1,1,0,1,1,0,0,0,0,1.3,1.3,0.5,1.9,16,11,43,0.24,0.00,0.24,0.24,0.24,0.32,0.13,0.45,0.32,0.45
247,Alan Franco,ec ECU,LT.AT,Atlético Mineiro,24,1998,18,9,840,9.3,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,4,27,8,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06
248,Alan Franco,ar ARG,ZG,São Paulo,26,1996,13,12,1.129,12.5,1,1,2,1,0,0,3,0,0.9,0.9,0.1,1.0,7,48,1,0.08,0.08,0.16,0.08,0.16,0.07,0.01,0.08,0.07,0.08
249,Fransérgio,br BRA,LT,Coritiba,32,1990,15,4,534,5.9,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,12,21,9,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12
250,Marlon Freitas,br BRA,LT,Botafogo (RJ),27,1995,36,33,2.909,32.3,1,2,3,1,0,0,3,0,2.1,2.1,2.2,4.3,34,204,21,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13
251,Bruno Fuchs,br BRA,ZG,Atlético Mineiro,23,1999,15,13,1.088,12.1,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,5,34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
252,Julio Furch,ar ARG,AT.LT,Santos,33,1989,22,5,608,6.8,3,0,3,3,0,0,2,0,2.8,2.8,0.6,3.4,5,15,49,0.44,0.00,0.44,0.44,0.44,0.42,0.09,0.50,0.42,0.50
253,Gabriel,br BRA,ZG,Bahia,21,2001,13,10,977,10.9,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,9,32,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
254,Gabriel,br BRA,LT,Internacional,30,1992,15,9,765,8.5,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.4,7,37,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
255,Gabriel,br BRA,G,Coritiba,30,1992,31,31,2.765,30.7,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
256,Gabriel,br BRA,LT,Botafogo (RJ),29,1993,16,10,866,9.6,0,1,1,0,0,0,2,0,0.7,0.7,1.5,2.2,11,56,29,0.00,0.10,0.10,0.00,0.10,0.07,0.15,0.22,0.07,0.22
257,Eduardo Gabriel,br BRA,ZG,Santos,26,1996,3,3,269,3.0,1,0,1,1,0,0,0,1,0.4,0.4,0.0,0.4,1,6,1,0.33,0.00,0.33,0.33,0.33,0.13,0.00,0.13,0.13,0.13
258,Thalisson Gabriel,br BRA,ZG,Coritiba,21,2002,11,11,945,10.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,23,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
259,Zé Gabriel,br BRA,LT,Vasco da Gama,24,1999,27,24,1.938,21.5,1,0,1,1,0,0,5,0,0.5,0.5,0.2,0.7,24,89,12,0.05,0.00,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03
260,Ighor Gabryel,br BRA,AT,América (MG),20,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
261,Matías Galarza,py PAR,LT,Vasco da Gama,20,2002,10,4,401,4.5,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,4,10,19,0.22,0.00,0.22,0.22,0.22,0.14,0.01,0.16,0.14,0.16
262,Thiago Galhardo,br BRA,AT.LT,Fortaleza,33,1989,33,20,1.876,20.8,5,4,9,3,2,2,6,0,7.2,5.6,2.8,8.4,26,70,91,0.24,0.19,0.43,0.14,0.34,0.35,0.13,0.48,0.27,0.40
263,JP Galvão,br BRA,ZG,Botafogo (RJ),21,2001,4,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
264,Ganso,br BRA,LT,Fluminense,33,1989,27,20,1.734,19.3,3,7,10,3,0,0,5,0,2.3,2.3,3.5,5.8,17,143,75,0.16,0.36,0.52,0.16,0.52,0.12,0.18,0.30,0.12,0.30
265,Maurício Garcez,br BRA,LT.AT,Coritiba,25,1997,14,4,596,6.6,1,0,1,1,0,0,0,0,1.2,1.2,0.3,1.6,11,11,34,0.15,0.00,0.15,0.15,0.15,0.19,0.05,0.24,0.19,0.24
266,García,br BRA,ZG,Palmeiras,21,2002,5,3,293,3.3,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,5,7,11,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
267,Bryan García,ec ECU,LT,Ath Paranaense,22,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
268,Luan Garcia,br BRA,ZG,Palmeiras,29,1993,23,21,1.819,20.2,1,1,2,1,0,0,5,0,1.9,1.9,0.6,2.5,12,80,0,0.05,0.05,0.10,0.05,0.10,0.10,0.03,0.12,0.10,0.12
269,Rafael Gava,br BRA,LT,Cuiabá,29,1993,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.36
270,Pedro Geromel,br BRA,ZG,Grêmio,37,1985,7,6,468,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,7,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
