Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsP90,AssisP90,G+AP90,G-PBP90,G+A-PBP90,xGP90,xAGP90,xG+xAGP90,npxGP90,npxG+xAGP90
434,Andre Martins,br BRA,"AT,LT",Grêmio,21,2001,21,1,368,4.1,0.73,0.00,0.73,0.73,0.00,0.00,0.24,0.00,0.32,0.32,0.17,0.49,1.71,3.90,7.07,073,000,073,073,073,031,018,049,031,049
435,Gustavo Martins Santos,br BRA,"ZG,LT",Grêmio,20,2002,17,5,689,7.7,0.13,0.13,0.26,0.13,0.00,0.00,0.65,0.00,0.13,0.13,0.03,0.13,1.04,5.32,1.17,013,013,026,013,026,014,002,016,014,016
436,Gonzalo Mastriani,uy URU,AT,América (MG),29,1993,24,22,1.793,19.9,0.55,0.05,0.60,0.50,0.05,0.10,0.05,0.05,0.54,0.46,0.08,0.50,0.45,1.16,4.47,055,005,060,050,055,054,008,062,046,054
437,Matheusinho,br BRA,"LT,AT",América (MG),24,1998,7,2,229,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.16,0.40,0.80,5.60,9.20,000,000,000,000,000,023,015,038,023,038
438,Matheusinho,br BRA,ZG,Cuiabá,24,1998,5,5,433,4.8,0.21,0.00,0.21,0.21,0.00,0.00,0.42,0.00,0.17,0.17,0.10,0.21,2.29,5.00,4.17,021,000,021,021,021,016,011,026,016,026
439,Matheuzinho,br BRA,ZG,Flamengo,22,2000,11,7,620,6.9,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.03,0.03,0.04,0.00,1.30,4.64,4.20,000,000,000,000,000,003,004,007,003,007
440,Mauricio,br BRA,"AT,LT",Internacional,21,2001,26,22,1.766,19.6,0.31,0.31,0.61,0.31,0.00,0.00,0.20,0.00,0.24,0.24,0.19,0.41,1.79,3.83,6.02,031,031,061,031,061,024,019,043,024,043
441,Maycon,br BRA,LT,Corinthians,25,1997,32,27,2.403,26.7,0.07,0.11,0.19,0.07,0.00,0.00,0.15,0.04,0.05,0.05,0.06,0.11,1.12,6.10,1.24,007,011,019,007,019,005,006,012,005,012
442,Mayke,br BRA,"ZG,AT",Palmeiras,30,1992,33,28,2.498,27.8,0.04,0.22,0.25,0.04,0.00,0.00,0.25,0.00,0.03,0.03,0.15,0.18,2.01,5.18,6.12,004,022,025,004,025,003,016,019,003,019
443,Gary Medel,cl CHI,"ZG,LT",Vasco da Gama,35,1987,20,20,1.724,19.2,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.05,0.00,0.00,0.01,0.00,0.26,3.07,0.36,000,000,000,000,000,000,001,001,000,001
444,Bruno Melo,br BRA,ZG,Goiás,30,1992,33,32,2.891,32.1,0.06,0.03,0.09,0.06,0.00,0.00,0.31,0.00,0.08,0.08,0.01,0.06,0.25,2.87,0.31,006,003,009,006,009,008,001,009,008,009
445,Felipe Melo,br BRA,ZG,Fluminense,39,1983,19,18,986,11.0,0.18,0.00,0.18,0.18,0.00,0.00,0.91,0.09,0.04,0.04,0.01,0.00,1.36,4.27,0.00,018,000,018,018,018,003,001,004,003,004
446,Darlan Mendes,br BRA,LT,Grêmio,24,1998,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,000,000,000,000,000,000,004,004,000,004
447,Matheus Mendes,br BRA,G,Atlético Mineiro,23,1999,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,000,001,001,000,001
448,Nathan Mendes,br BRA,ZG,São Paulo,20,2002,21,11,1.176,13.1,0.08,0.00,0.08,0.08,0.00,0.00,0.38,0.00,0.04,0.04,0.03,0.00,2.21,3.89,3.66,008,000,008,008,008,003,003,007,003,007
449,Vitor Mendes,br BRA,ZG,Fluminense,23,1999,2,1,108,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,000,000,000,000,000,009,002,011,009,011
