Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
RC Strasbourg,2,0,0,2,1,8,-7,0,20
Paris Saint-Germain,3,3,0,0,9,1,8,9,1
Olympique Marseille,3,3,0,0,3,4,-1,9,2
Rennes,3,2,1,0,8,3,5,7,3
Olympique Lyonnais,3,2,1,0,6,1,5,7,4
Monaco,3,2,1,0,6,2,4,7,5
Lens,3,2,1,0,7,4,3,7,6
Lille,3,2,1,0,3,4,-1,7,7
Nice,3,1,2,0,2,3,-1,5,8
Stade de Reims,3,0,3,0,6,4,2,3,9
Lorient,3,0,3,0,2,1,1,3,10
Clermont,3,0,3,0,2,2,0,3,11
Nantes,3,0,3,0,1,2,-1,3,12
Montpellier,3,0,2,1,6,7,-1,2,13
Brest,3,0,2,1,4,5,-1,2,14
Troyes,3,0,2,1,5,7,-2,2,15
Toulouse,3,0,2,1,2,4,-2,2,16
RC Strasbourg,3,0,1,2,2,10,-8,1,17
Angers SCO,3,0,0,3,1,2,-1,0,18
AC Ajaccio,3,0,0,3,3,7,-4,0,19
Auxerre,3,0,0,3,1,8,-7,0,20
Paris Saint-Germain,4,4,0,0,16,1,15,12,1
Olympique Marseille,4,4,0,0,4,4,0,12,2
Monaco,4,3,1,0,11,3,8,10,3
Olympique Lyonnais,4,3,1,0,8,2,6,10,4
Rennes,4,3,1,0,8,3,5,10,5
Lens,4,3,1,0,7,4,3,10,6
Lille,4,3,1,0,6,5,1,10,7
Nice,4,1,3,0,2,4,-2,6,8
Clermont,4,0,4,0,5,2,3,4,9
Stade de Reims,4,0,4,0,7,5,2,4,10
Lorient,4,0,4,0,4,3,1,4,11
Nantes,4,0,4,0,3,3,0,4,12
Toulouse,4,0,3,1,4,7,-3,3,13
Montpellier,4,0,2,2,9,10,-1,2,14
Brest,4,0,2,2,4,5,-1,2,15
Troyes,4,0,2,2,6,10,-4,2,16
RC Strasbourg,4,0,2,2,2,11,-9,2,17
Angers SCO,4,0,0,4,1,4,-3,0,18
AC Ajaccio,4,0,0,4,3,8,-5,0,19
Auxerre,4,0,0,4,2,9,-7,0,20
Paris Saint-Germain,5,5,0,0,20,2,18,15,1
Olympique Marseille,5,5,0,0,5,4,1,15,2
Monaco,5,4,1,0,14,4,10,13,3
Rennes,5,4,1,0,11,5,6,13,4
Lens,5,4,1,0,8,4,4,13,5
Lille,5,4,1,0,6,5,1,13,6
Olympique Lyonnais,5,3,2,0,9,2,7,11,7
Nice,5,2,3,0,7,6,1,9,8
Lorient,5,1,4,0,7,4,3,7,9
Toulouse,5,1,3,1,4,11,-7,6,10
Stade de Reims,5,0,5,0,9,5,4,5,11
Clermont,5,0,5,0,7,3,4,5,12
Nantes,5,0,5,0,4,4,0,5,13
Brest,5,0,3,2,5,6,-1,3,14
Troyes,5,0,3,2,8,13,-5,3,15
RC Strasbourg,5,0,3,2,5,12,-7,3,16
Montpellier,5,0,2,3,9,12,-3,2,17
Angers SCO,5,0,0,5,2,8,-6,0,18
Auxerre,5,0,0,5,2,10,-8,0,19
AC Ajaccio,5,0,0,5,3,12,-9,0,20
Paris Saint-Germain,6,6,0,0,22,3,19,18,1
Olympique Marseille,6,5,1,0,7,4,3,16,2
Monaco,6,4,2,0,15,5,10,14,3
Lens,6,4,2,0,9,5,4,14,4
Rennes,6,4,2,0,11,9,2,14,5
Lille,6,4,2,0,7,7,0,14,6
Olympique Lyonnais,6,3,3,0,10,3,7,12,7
Nice,6,2,4,0,8,7,1,10,8
Lorient,6,1,4,1,9,5,4,7,9
Toulouse,6,1,4,1,4,13,-9,7,10
Stade de Reims,6,0,6,0,10,6,4,6,11
Clermont,6,0,6,0,9,7,2,6,12
Nantes,6,0,5,1,5,5,0,5,13
Brest,6,0,3,3,5,8,-3,3,14
Montpellier,6,0,3,3,9,13,-4,3,15
RC Strasbourg,6,0,3,3,8,15,-7,3,16
Troyes,6,0,3,3,9,18,-9,3,17
Angers SCO,6,0,0,6,2,9,-7,0,18
Auxerre,6,0,0,6,4,13,-9,0,19
AC Ajaccio,6,0,0,6,3,13,-10,0,20
Paris Saint-Germain,7,6,1,0,23,4,19,19,1
Olympique Marseille,7,5,2,0,8,4,4,17,2
Lille,7,5,2,0,9,7,2,17,3
Monaco,7,4,3,0,16,9,7,15,4
Olympique Lyonnais,7,4,3,0,10,3,7,15,5
Lens,7,4,3,0,10,5,5,15,6
Rennes,7,4,3,0,13,11,2,15,7
Nice,7,2,5,0,9,7,2,11,8
Toulouse,7,2,4,1,7,16,-9,10,9
Lorient,7,1,4,2,10,5,5,7,10
Stade de Reims,7,0,6,1,10,7,3,6,11
Clermont,7,0,6,1,9,7,2,6,12
Nantes,7,0,5,2,6,10,-4,5,13
Montpellier,7,0,4,3,10,13,-3,4,14
Brest,7,0,3,4,5,12,-7,3,15
Troyes,7,0,3,4,10,18,-8,3,16
RC Strasbourg,7,0,3,4,9,17,-8,3,17
Angers SCO,7,0,0,7,4,10,-6,0,18
Auxerre,7,0,0,7,5,13,-8,0,19
AC Ajaccio,7,0,0,7,3,17,-14,0,20
Paris Saint-Germain,8,7,1,0,24,4,20,22,1
Olympique Marseille,8,6,2,0,13,4,9,20,2
Lille,8,6,2,0,14,7,7,20,3
Monaco,8,5,3,0,19,9,10,18,4
Rennes,8,5,3,0,17,13,4,18,5
Lens,8,5,3,0,12,8,4,18,6
Olympique Lyonnais,8,4,4,0,10,5,5,16,7
Nice,8,3,5,0,10,7,3,14,8
Lorient,8,2,4,2,13,6,7,10,9
Toulouse,8,2,4,2,8,19,-11,10,10
Stade de Reims,8,1,6,1,12,8,4,9,11
Nantes,8,1,5,2,6,11,-5,8,12
Brest,8,1,3,4,12,12,0,6,13
RC Strasbourg,8,1,3,4,10,17,-7,6,14
Troyes,8,1,3,4,11,19,-8,6,15
Clermont,8,0,6,2,11,11,0,6,16
Montpellier,8,0,4,4,12,16,-4,4,17
Auxerre,8,0,1,7,5,15,-10,1,18
AC Ajaccio,8,0,1,7,3,17,-14,1,19
Angers SCO,8,0,0,8,6,13,-7,0,20
Paris Saint-Germain,9,8,1,0,28,5,23,25,1
Lille,9,7,2,0,16,8,8,23,2
Olympique Marseille,9,6,3,0,13,6,7,21,3
Lens,9,6,3,0,12,10,2,21,4
Monaco,9,5,4,0,20,10,10,19,5
Rennes,9,5,4,0,17,14,3,19,6
Olympique Lyonnais,9,4,4,1,12,6,6,16,7
Nice,9,3,6,0,10,7,3,15,8
Lorient,9,2,4,3,15,8,7,10,9
Toulouse,9,2,4,3,8,19,-11,10,10
Stade de Reims,9,1,6,2,13,9,4,9,11
Clermont,9,1,6,2,12,12,0,9,12
Nantes,9,1,5,3,8,12,-4,8,13
Brest,9,1,3,5,15,14,1,6,14
RC Strasbourg,9,1,3,5,12,20,-8,6,15
Troyes,9,1,3,5,12,23,-11,6,16
Montpellier,9,0,4,5,12,16,-4,4,17
Auxerre,9,0,1,8,6,19,-13,1,18
AC Ajaccio,9,0,1,8,3,19,-16,1,19
Angers SCO,9,0,0,9,7,15,-8,0,20
Paris Saint-Germain,10,8,2,0,31,6,25,26,1
Lille,10,8,2,0,17,9,8,26,2
Olympique Marseille,10,7,3,0,14,7,7,24,3
Lens,10,7,3,0,15,13,2,24,4
Rennes,10,6,4,0,20,15,5,22,5
Monaco,10,5,4,1,20,15,5,19,6
Olympique Lyonnais,10,4,5,1,13,6,7,17,7
Nice,10,3,6,1,11,8,3,15,8
Toulouse,10,3,4,3,10,19,-9,13,9
Lorient,10,2,4,4,15,10,5,10,10
Stade de Reims,10,1,6,3,14,11,3,9,11
Clermont,10,1,6,3,13,15,-2,9,12
Nantes,10,1,5,4,8,14,-6,8,13
Brest,10,1,3,6,15,16,-1,6,14
RC Strasbourg,10,1,3,6,13,22,-9,6,15
Troyes,10,1,3,6,12,28,-16,6,16
Montpellier,10,0,4,6,12,17,-5,4,17
Auxerre,10,0,1,9,6,20,-14,1,18
AC Ajaccio,10,0,1,9,4,26,-22,1,19
Angers SCO,10,0,0,10,7,17,-10,0,20
Paris Saint-Germain,11,9,2,0,34,7,27,29,1
Olympique Marseille,11,8,3,0,19,9,10,27,2
Lille,11,8,3,0,18,10,8,27,3
Lens,11,8,3,0,19,13,6,27,4
Rennes,11,7,4,0,21,17,4,25,5
Monaco,11,6,4,1,23,17,6,22,6
Olympique Lyonnais,11,4,6,1,14,9,5,18,7
Nice,11,3,7,1,12,9,3,16,8
Toulouse,11,3,4,4,10,19,-9,13,9
Lorient,11,2,5,4,15,11,4,11,10
Stade de Reims,11,1,7,3,14,13,1,10,11
Clermont,11,1,6,4,14,15,-1,9,12
Nantes,11,1,6,4,9,15,-6,9,13
Brest,11,1,4,6,15,16,-1,7,14
Montpellier,11,1,4,6,16,18,-2,7,15
RC Strasbourg,11,1,4,6,13,23,-10,7,16
Troyes,11,1,4,6,12,29,-17,7,17
Auxerre,11,0,1,10,7,21,-14,1,18
AC Ajaccio,11,0,1,10,5,27,-22,1,19
Angers SCO,11,0,0,11,8,19,-11,0,20
Paris Saint-Germain,12,10,2,0,36,10,26,32,1
Olympique Marseille,12,9,3,0,21,9,12,30,2
Lille,12,9,3,0,19,10,9,30,3
Lens,12,8,4,0,20,14,6,28,4
Rennes,12,8,4,0,23,19,4,28,5
Monaco,12,6,5,1,23,18,5,23,6
Olympique Lyonnais,12,4,6,2,14,12,2,18,7
Nice,12,3,8,1,15,10,5,17,8
Toulouse,12,3,4,5,10,20,-10,13,9
Lorient,12,2,5,5,15,18,-3,11,10
Clermont,12,1,7,4,15,15,0,10,11
Stade de Reims,12,1,7,4,14,15,-1,10,12
Nantes,12,1,7,4,11,18,-7,10,13
Brest,12,1,4,7,16,18,-2,7,14
Montpellier,12,1,4,7,18,21,-3,7,15
RC Strasbourg,12,1,4,7,13,26,-13,7,16
Troyes,12,1,4,7,12,33,-21,7,17
Auxerre,12,0,1,11,7,24,-17,1,18
AC Ajaccio,12,0,1,11,6,29,-23,1,19
Angers SCO,12,0,0,12,9,23,-14,0,20
Paris Saint-Germain,13,11,2,0,39,11,28,35,1
Olympique Marseille,13,10,3,0,24,9,15,33,2
Lille,13,9,4,0,23,10,13,31,3
Rennes,13,9,4,0,28,19,9,31,4
Lens,13,9,4,0,21,16,5,31,5
Monaco,13,7,5,1,25,18,7,26,6
Olympique Lyonnais,13,5,6,2,18,12,6,21,7
Nice,13,3,8,2,16,11,5,17,8
Toulouse,13,3,5,5,11,22,-11,14,9
Lorient,13,2,5,6,15,21,-6,11,10
Nantes,13,1,8,4,12,18,-6,11,11
Clermont,13,1,7,5,16,15,1,10,12
Stade de Reims,13,1,7,5,15,17,-2,10,13
Montpellier,13,1,4,8,18,22,-4,7,14
Brest,13,1,4,8,16,20,-4,7,15
RC Strasbourg,13,1,4,8,14,30,-16,7,16
Troyes,13,1,4,8,13,36,-23,7,17
Auxerre,13,0,1,12,8,30,-22,1,18
AC Ajaccio,13,0,1,12,6,36,-30,1,19
Angers SCO,13,0,0,13,10,26,-16,0,20
Paris Saint-Germain,14,12,2,0,44,11,33,38,1
Olympique Marseille,14,11,3,0,31,11,20,36,2
Rennes,14,9,5,0,30,19,11,32,3
Lille,14,9,5,0,23,12,11,32,4
Lens,14,9,5,0,23,18,5,32,5
Monaco,14,8,5,1,26,19,7,29,6
Olympique Lyonnais,14,6,6,2,20,13,7,24,7
Nice,14,4,8,2,19,12,7,20,8
Lorient,14,3,5,6,18,22,-4,14,9
Toulouse,14,3,5,6,12,27,-15,14,10
Stade de Reims,14,2,7,5,17,19,-2,13,11
Nantes,14,1,9,4,13,19,-6,12,12
RC Strasbourg,14,2,4,8,16,31,-15,10,13
Troyes,14,2,4,8,15,37,-22,10,14
Clermont,14,1,7,6,16,17,-1,10,15
Montpellier,14,1,5,8,19,23,-4,8,16
Brest,14,1,5,8,17,21,-4,8,17
Auxerre,14,0,2,12,11,31,-20,2,18
AC Ajaccio,14,0,1,13,10,40,-30,1,19
Angers SCO,14,0,0,14,13,28,-15,0,20
Paris Saint-Germain,15,13,2,0,49,11,38,41,1
Olympique Marseille,15,12,3,0,34,12,22,39,2
Lille,15,10,5,0,24,13,11,35,3
Rennes,15,9,6,0,31,19,12,33,4
Lens,15,9,6,0,23,19,4,33,5
Monaco,15,9,5,1,29,24,5,32,6
Olympique Lyonnais,15,7,6,2,20,15,5,27,7
Nice,15,5,8,2,21,12,9,23,8
Lorient,15,4,5,6,19,22,-3,17,9
Stade de Reims,15,3,7,5,17,19,-2,16,10
Toulouse,15,3,5,7,12,34,-22,14,11
RC Strasbourg,15,3,4,8,19,31,-12,13,12
Troyes,15,3,4,8,16,38,-22,13,13
Clermont,15,2,7,6,17,19,-2,13,14
Nantes,15,1,10,4,13,21,-8,13,15
Brest,15,2,5,8,17,23,-6,11,16
Montpellier,15,1,5,9,20,26,-6,8,17
Auxerre,15,0,2,13,11,33,-22,2,18
AC Ajaccio,15,0,2,13,11,42,-31,2,19
Angers SCO,15,0,0,15,15,32,-17,0,20
Paris Saint-Germain,16,14,2,0,54,13,41,44,1
Olympique Marseille,16,12,4,0,34,14,20,40,2
Rennes,16,10,6,0,32,19,13,36,3
Lille,16,10,6,0,25,14,11,36,4
Lens,16,10,6,0,28,20,8,36,5
Monaco,16,10,5,1,34,25,9,35,6
Olympique Lyonnais,16,7,7,2,20,17,3,28,7
Nice,16,6,8,2,22,14,8,26,8
Lorient,16,5,5,6,20,22,-2,20,9
Toulouse,16,4,5,7,13,34,-21,17,10
Stade de Reims,16,3,8,5,20,19,1,17,11
Clermont,16,3,7,6,20,19,1,16,12
RC Strasbourg,16,3,5,8,23,32,-9,14,13
Nantes,16,1,11,4,13,23,-10,14,14
Troyes,16,3,4,9,18,39,-21,13,15
Brest,16,2,6,8,18,26,-8,12,16
Montpellier,16,1,5,10,21,30,-9,8,17
Auxerre,16,0,2,14,12,34,-22,2,18
AC Ajaccio,16,0,2,14,11,44,-33,2,19
Angers SCO,16,0,0,16,15,37,-22,0,20
Paris Saint-Germain,17,15,2,0,56,15,41,47,1
Olympique Marseille,17,13,4,0,35,15,20,43,2
Rennes,17,10,7,0,34,19,15,37,3
Lens,17,10,7,0,32,21,11,37,4
Lille,17,10,6,1,26,16,10,36,5
Monaco,17,10,6,1,34,25,9,36,6
Olympique Lyonnais,17,7,8,2,21,17,4,29,7
Nice,17,6,9,2,22,15,7,27,8
Lorient,17,5,6,6,22,23,-1,21,9
Toulouse,17,5,5,7,14,35,-21,20,10
Stade de Reims,17,3,9,5,21,19,2,18,11
Clermont,17,3,8,6,23,21,2,17,12
RC Strasbourg,17,3,6,8,25,34,-9,15,13
Troyes,17,3,5,9,19,40,-21,14,14
Nantes,17,1,11,5,14,23,-9,14,15
Brest,17,2,7,8,20,27,-7,13,16
Montpellier,17,2,5,10,25,30,-5,11,17
Auxerre,17,0,2,15,15,35,-20,2,18
AC Ajaccio,17,0,2,15,12,47,-35,2,19
Angers SCO,17,0,0,17,16,37,-21,0,20
Paris Saint-Germain,18,16,2,0,57,15,42,50,1
Olympique Marseille,18,13,5,0,37,16,21,44,2
Rennes,18,11,7,0,35,21,14,40,3
Lille,18,11,6,1,27,16,11,39,4
Lens,18,10,8,0,33,22,11,38,5
Monaco,18,10,7,1,35,26,9,37,6
Olympique Lyonnais,18,8,8,2,22,17,5,32,7
Nice,18,6,10,2,25,15,10,28,8
Toulouse,18,6,5,7,17,36,-19,23,9
Lorient,18,5,7,6,22,25,-3,22,10
Stade de Reims,18,4,9,5,22,20,2,21,11
Clermont,18,3,9,6,25,23,2,18,12
Nantes,18,2,11,5,15,24,-9,17,13
RC Strasbourg,18,3,6,9,25,35,-10,15,14
Troyes,18,3,6,9,19,43,-24,15,15
Montpellier,18,3,5,10,26,30,-4,14,16
Brest,18,2,7,9,21,27,-6,13,17
Auxerre,18,0,2,16,16,39,-23,2,18
AC Ajaccio,18,0,2,16,12,48,-36,2,19
Angers SCO,18,0,0,18,16,40,-24,0,20
Paris Saint-Germain,19,16,3,0,60,15,45,51,1
Olympique Marseille,19,14,5,0,39,16,23,47,2
Lille,19,12,6,1,30,18,12,42,3
Lens,19,11,8,0,37,22,15,41,4
Rennes,19,11,8,0,36,22,14,41,5
Monaco,19,11,7,1,36,26,10,40,6
Olympique Lyonnais,19,8,9,2,22,17,5,33,7
Nice,19,7,10,2,25,16,9,31,8
Toulouse,19,6,6,7,18,37,-19,24,9
Lorient,19,5,8,6,23,26,-3,23,10
Stade de Reims,19,4,10,5,22,20,2,22,11
Clermont,19,3,10,6,27,24,3,19,12
Nantes,19,2,11,6,17,24,-7,17,13
RC Strasbourg,19,3,7,9,27,38,-11,16,14
Troyes,19,3,7,9,23,43,-20,16,15
Montpellier,19,3,6,10,29,32,-3,15,16
Brest,19,2,7,10,22,29,-7,13,17
Auxerre,19,0,2,17,18,40,-22,2,18
AC Ajaccio,19,0,2,17,12,51,-39,2,19
Angers SCO,19,0,0,19,16,41,-25,0,20
Paris Saint-Germain,20,17,3,0,67,15,52,54,1
Olympique Marseille,20,15,5,0,44,16,28,50,2
Lille,20,13,6,1,35,19,16,45,3
Lens,20,12,8,0,37,23,14,44,4
Rennes,20,11,8,1,37,26,11,41,5
Monaco,20,11,8,1,37,28,9,41,6
Olympique Lyonnais,20,9,9,2,26,17,9,36,7
Nice,20,7,11,2,26,16,10,32,8
Toulouse,20,6,7,7,19,37,-18,25,9
Lorient,20,5,9,6,23,27,-4,24,10
Stade de Reims,20,4,11,5,23,22,1,23,11
Clermont,20,3,11,6,29,25,4,20,12
RC Strasbourg,20,3,8,9,28,38,-10,17,13
Troyes,20,3,8,9,26,43,-17,17,14
Nantes,20,2,11,7,17,24,-7,17,15
Montpellier,20,3,7,10,29,34,-5,16,16
Brest,20,2,8,10,23,31,-8,14,17
Auxerre,20,0,2,18,18,43,-25,2,18
AC Ajaccio,20,0,2,18,12,52,-40,2,19
Angers SCO,20,0,1,19,16,41,-25,1,20
Paris Saint-Germain,21,18,3,0,68,17,51,57,1
Olympique Marseille,21,15,6,0,45,19,26,51,2
Lens,21,13,8,0,37,24,13,47,3
Lille,21,13,7,1,36,20,16,46,4
Rennes,21,12,8,1,39,26,13,44,5
Monaco,21,11,9,1,40,30,10,42,6
Olympique Lyonnais,21,9,10,2,27,17,10,37,7
Nice,21,8,11,2,27,17,10,35,8
Toulouse,21,7,7,7,19,37,-18,28,9
Lorient,21,6,9,6,23,29,-6,27,10
Stade de Reims,21,5,11,5,24,23,1,26,11
Clermont,21,3,12,6,29,27,2,21,12
RC Strasbourg,21,3,9,9,28,41,-13,18,13
Troyes,21,3,8,10,27,50,-23,17,14
Nantes,21,2,11,8,19,27,-8,17,15
Montpellier,21,3,7,11,31,39,-8,16,16
Brest,21,2,9,10,26,32,-6,15,17
AC Ajaccio,21,0,3,18,13,52,-39,3,18
Angers SCO,21,0,2,19,18,41,-23,2,19
Auxerre,21,0,2,19,18,48,-30,2,20
Paris Saint-Germain,22,18,4,0,69,18,51,58,1
Olympique Marseille,22,16,6,0,52,20,32,54,2
Lens,22,14,8,0,38,24,14,50,3
Rennes,22,13,8,1,43,27,16,47,4
Lille,22,13,8,1,37,21,16,47,5
Monaco,22,12,9,1,42,30,12,45,6
Olympique Lyonnais,22,9,11,2,30,19,11,38,7
Nice,22,9,11,2,28,17,11,38,8
Toulouse,22,7,8,7,21,39,-18,29,9
Lorient,22,6,10,6,23,31,-8,28,10
Stade de Reims,22,5,12,5,25,25,0,27,11
Clermont,22,3,13,6,31,27,4,22,12
RC Strasbourg,22,3,9,10,32,41,-9,18,13
Montpellier,22,3,8,11,32,40,-8,17,14
Troyes,22,3,8,11,29,51,-22,17,15
Nantes,22,2,11,9,20,30,-10,17,16
Brest,22,2,10,10,26,35,-9,16,17
Auxerre,22,0,3,19,18,49,-31,3,18
AC Ajaccio,22,0,3,19,13,53,-40,3,19
Angers SCO,22,0,2,20,19,42,-23,2,20
Paris Saint-Germain,23,19,4,0,72,18,54,61,1
Olympique Marseille,23,17,6,0,53,20,33,57,2
Lens,23,14,9,0,38,25,13,51,3
Rennes,23,14,8,1,47,28,19,50,4
Lille,23,14,8,1,39,21,18,50,5
Monaco,23,12,9,2,45,32,13,45,6
Olympique Lyonnais,23,10,11,2,32,19,13,41,7
Nice,23,9,12,2,29,18,11,39,8
Toulouse,23,8,8,7,24,41,-17,32,9
Lorient,23,6,11,6,23,33,-10,29,10
Stade de Reims,23,5,12,6,25,26,-1,27,11
Clermont,23,3,14,6,31,28,3,23,12
Troyes,23,4,8,11,31,51,-20,20,13
Nantes,23,3,11,9,21,31,-10,20,14
RC Strasbourg,23,3,10,10,33,41,-8,19,15
Montpellier,23,3,8,12,33,43,-10,17,16
Brest,23,2,11,10,30,36,-6,17,17
Auxerre,23,0,3,20,20,49,-29,3,18
AC Ajaccio,23,0,3,20,13,54,-41,3,19
Angers SCO,23,0,2,21,20,44,-24,2,20
Paris Saint-Germain,24,20,4,0,75,19,56,64,1
Olympique Marseille,24,18,6,0,58,20,38,60,2
Lens,24,15,9,0,42,25,17,54,3
Rennes,24,15,8,1,48,29,19,53,4
Lille,24,15,8,1,40,23,17,53,5
Monaco,24,13,9,2,47,33,14,48,6
Olympique Lyonnais,24,10,12,2,34,20,14,42,7
Nice,24,9,13,2,29,19,10,40,8
Toulouse,24,8,8,8,25,43,-18,32,9
Lorient,24,7,11,6,24,34,-10,32,10
Stade de Reims,24,6,12,6,27,27,0,30,11
Nantes,24,4,11,9,22,32,-10,23,12
Clermont,24,3,14,7,31,33,-2,23,13
Troyes,24,4,8,12,31,56,-25,20,14
RC Strasbourg,24,3,10,11,33,43,-10,19,15
Montpellier,24,3,8,13,34,44,-10,17,16
Brest,24,2,11,11,31,38,-7,17,17
Auxerre,24,0,3,21,20,50,-30,3,18
AC Ajaccio,24,0,3,21,14,55,-41,3,19
Angers SCO,24,0,2,22,20,45,-25,2,20
Paris Saint-Germain,25,21,4,0,82,19,63,67,1
Olympique Marseille,25,19,6,0,60,21,39,63,2
Lens,25,16,9,0,42,26,16,57,3
Rennes,25,15,9,1,48,29,19,54,4
Lille,25,15,9,1,41,24,17,54,5
Monaco,25,14,9,2,50,33,17,51,6
Olympique Lyonnais,25,10,13,2,34,21,13,43,7
Nice,25,10,13,2,30,20,10,43,8
Lorient,25,7,12,6,24,37,-13,33,9
Toulouse,25,8,8,9,28,46,-18,32,10
Stade de Reims,25,6,13,6,27,29,-2,31,11
Nantes,25,4,12,9,23,32,-9,24,12
Clermont,25,3,14,8,33,33,0,23,13
Troyes,25,4,8,13,33,59,-26,20,14
RC Strasbourg,25,3,10,12,36,45,-9,19,15
Montpellier,25,3,8,14,34,48,-14,17,16
Brest,25,2,11,12,31,39,-8,17,17
Auxerre,25,0,3,22,20,52,-32,3,18
AC Ajaccio,25,0,3,22,15,61,-46,3,19
Angers SCO,25,0,2,23,20,52,-32,2,20
Paris Saint-Germain,26,22,4,0,88,20,68,70,1
Olympique Marseille,26,20,6,0,61,22,39,66,2
Lens,26,17,9,0,44,29,15,60,3
Lille,26,16,9,1,44,25,19,57,4
Rennes,26,16,9,1,50,32,18,57,5
Monaco,26,15,9,2,54,33,21,54,6
Olympique Lyonnais,26,11,13,2,37,23,14,46,7
Nice,26,10,14,2,30,22,8,44,8
Toulouse,26,9,8,9,30,47,-17,35,9
Lorient,26,7,12,7,24,38,-14,33,10
Stade de Reims,26,6,13,7,27,32,-5,31,11
Clermont,26,4,14,8,35,33,2,26,12
Nantes,26,4,13,9,25,32,-7,25,13
RC Strasbourg,26,4,10,12,38,46,-8,22,14
Troyes,26,4,9,13,35,59,-24,21,15
Montpellier,26,4,8,14,38,49,-11,20,16
Brest,26,3,11,12,32,40,-8,20,17
Auxerre,26,0,3,23,23,54,-31,3,18
AC Ajaccio,26,0,3,23,15,65,-50,3,19
Angers SCO,26,0,2,24,21,55,-34,2,20
Paris Saint-Germain,27,23,4,0,91,21,70,73,1
Olympique Marseille,27,21,6,0,63,22,41,69,2
Lens,27,17,10,0,44,30,14,61,3
Rennes,27,17,9,1,52,34,18,60,4
Lille,27,16,10,1,44,27,17,58,5
Monaco,27,16,9,2,56,33,23,57,6
Olympique Lyonnais,27,11,14,2,38,23,15,47,7
Nice,27,10,15,2,30,24,6,45,8
Lorient,27,8,12,7,26,38,-12,36,9
Toulouse,27,9,8,10,32,49,-17,35,10
Stade de Reims,27,6,14,7,28,33,-5,32,11
Clermont,27,4,14,9,37,34,3,26,12
Nantes,27,4,14,9,26,33,-7,26,13
RC Strasbourg,27,4,10,13,39,49,-10,22,14
Troyes,27,4,9,14,35,63,-28,21,15
Montpellier,27,4,8,15,38,54,-16,20,16
Brest,27,3,11,13,32,42,-10,20,17
AC Ajaccio,27,0,4,23,16,68,-52,4,18
Auxerre,27,0,3,24,23,57,-34,3,19
Angers SCO,27,0,2,25,21,56,-35,2,20
Paris Saint-Germain,28,24,4,0,93,22,71,76,1
Olympique Marseille,28,22,6,0,65,22,43,72,2
Lens,28,17,11,0,46,30,16,62,3
Rennes,28,17,10,1,53,36,17,61,4
Monaco,28,16,10,2,57,36,21,58,5
Lille,28,16,10,2,45,30,15,58,6
Olympique Lyonnais,28,11,14,3,39,24,15,47,7
Nice,28,10,16,2,31,24,7,46,8
Lorient,28,8,12,8,30,42,-12,36,9
Toulouse,28,9,8,11,32,52,-20,35,10
Stade de Reims,28,6,14,8,30,34,-4,32,11
Nantes,28,4,15,9,26,33,-7,27,12
Clermont,28,4,14,10,37,36,1,26,13
RC Strasbourg,28,4,10,14,41,54,-13,22,14
Troyes,28,4,9,15,36,69,-33,21,15
Montpellier,28,4,8,16,40,61,-21,20,16
Brest,28,3,11,14,33,45,-12,20,17
Auxerre,28,0,4,24,23,59,-36,4,18
AC Ajaccio,28,0,4,24,17,70,-53,4,19
