Team,Matches,Won,Drawn,Lost,GF,GA,GD,Points,Rank
Nimes Olympique,3,0,1,2,1,9,-8,1,19
Chamois Niortais,3,0,0,3,0,6,-6,0,20
Havre AC,4,4,0,0,3,3,0,12,1
Bordeaux,4,2,1,1,8,1,7,7,2
Sochaux,4,2,1,1,6,7,-1,7,3
FC Metz,4,2,1,1,5,7,-2,7,4
Caen,4,0,3,1,7,5,2,3,5
Annecy,4,0,3,1,5,4,1,3,6
SC Bastia,4,0,3,1,3,3,0,3,7
Valenciennes,4,0,3,1,5,6,-1,3,8
FC Pau,4,0,3,1,3,4,-1,3,9
Grenoble,4,0,3,1,3,6,-3,3,10
Amiens SC,4,0,3,1,2,5,-3,3,11
US Quevilly,4,0,3,1,3,8,-5,3,12
Paris FC,4,0,3,1,0,11,-11,3,13
Dijon,4,0,2,2,4,5,-1,2,14
Guingamp,4,0,2,2,4,6,-2,2,15
St Etienne,4,0,2,2,4,8,-4,2,16
Rodez AF,4,0,2,2,3,7,-4,2,17
Laval,4,0,2,2,3,8,-5,2,18
Nimes Olympique,4,0,1,3,3,10,-7,1,19
Chamois Niortais,4,0,0,4,0,7,-7,0,20
Havre AC,5,5,0,0,5,4,1,15,1
FC Metz,5,3,1,1,8,8,0,10,2
Bordeaux,5,2,2,1,9,3,6,8,3
Sochaux,5,2,2,1,7,7,0,8,4
Caen,5,0,4,1,9,9,0,4,5
Amiens SC,5,0,4,1,3,5,-2,4,6
Grenoble,5,0,4,1,4,8,-4,4,7
Dijon,5,0,3,2,7,5,2,3,8
Annecy,5,0,3,2,6,5,1,3,9
Guingamp,5,0,3,2,5,7,-2,3,10
Valenciennes,5,0,3,2,5,7,-2,3,11
SC Bastia,5,0,3,2,4,6,-2,3,12
FC Pau,5,0,3,2,4,6,-2,3,13
US Quevilly,5,0,3,2,3,8,-5,3,14
Paris FC,5,0,3,2,1,12,-11,3,15
Laval,5,0,2,3,6,8,-2,2,16
St Etienne,5,0,2,3,6,10,-4,2,17
Rodez AF,5,0,2,3,4,8,-4,2,18
Nimes Olympique,5,0,1,4,3,13,-10,1,19
Chamois Niortais,5,0,0,5,1,13,-12,0,20
Havre AC,6,6,0,0,11,4,7,18,1
Bordeaux,6,3,2,1,11,3,8,11,2
Sochaux,6,3,2,1,8,7,1,11,3
FC Metz,6,3,1,2,8,9,-1,10,4
Caen,6,0,5,1,10,10,0,5,5
Amiens SC,6,0,5,1,4,7,-3,5,6
Grenoble,6,0,5,1,4,8,-4,5,7
Dijon,6,0,4,2,8,5,3,4,8
Annecy,6,0,4,2,7,5,2,4,9
US Quevilly,6,0,4,2,8,9,-1,4,10
FC Pau,6,0,4,2,5,7,-2,4,11
SC Bastia,6,0,4,2,4,6,-2,4,12
Valenciennes,6,0,4,2,5,8,-3,4,13
Paris FC,6,0,4,2,1,12,-11,4,14
Laval,6,0,3,3,8,10,-2,3,15
Guingamp,6,0,3,3,7,9,-2,3,16
Rodez AF,6,0,3,3,6,8,-2,3,17
St Etienne,6,0,3,3,6,11,-5,3,18
Nimes Olympique,6,0,2,4,3,14,-11,2,19
Chamois Niortais,6,0,1,5,1,15,-14,1,20
Havre AC,7,7,0,0,12,5,7,21,1
Bordeaux,7,4,2,1,13,4,9,14,2
Sochaux,7,4,2,1,9,8,1,14,3
FC Metz,7,4,1,2,10,10,0,13,4
Guingamp,7,1,3,3,7,10,-3,6,5
Caen,7,0,6,1,10,11,-1,6,6
Grenoble,7,0,6,1,4,9,-5,6,7
Amiens SC,7,0,6,1,4,10,-6,6,8
Annecy,7,0,5,2,10,5,5,5,9
Dijon,7,0,5,2,10,6,4,5,10
US Quevilly,7,0,5,2,11,11,0,5,11
SC Bastia,7,0,5,2,6,7,-1,5,12
FC Pau,7,0,5,2,6,9,-3,5,13
Valenciennes,7,0,5,2,6,11,-5,5,14
Paris FC,7,0,5,2,1,12,-11,5,15
Rodez AF,7,0,4,3,9,8,1,4,16
Laval,7,0,4,3,9,12,-3,4,17
St Etienne,7,0,4,3,7,12,-5,4,18
Nimes Olympique,7,0,2,5,3,14,-11,2,19
Chamois Niortais,7,0,1,6,3,15,-12,1,20
Havre AC,8,8,0,0,14,6,8,24,1
Bordeaux,8,4,3,1,14,5,9,15,2
Sochaux,8,4,3,1,10,9,1,15,3
FC Metz,8,4,2,2,12,11,1,14,4
Annecy,8,1,5,2,11,7,4,8,5
US Quevilly,8,1,5,2,13,12,1,8,6
Guingamp,8,1,4,3,7,10,-3,7,7
Caen,8,0,7,1,13,13,0,7,8
Grenoble,8,0,7,1,5,9,-4,7,9
Amiens SC,8,0,7,1,6,12,-6,7,10
Valenciennes,8,0,6,2,7,14,-7,6,11
Paris FC,8,0,6,2,1,13,-12,6,12
Dijon,8,0,5,3,10,7,3,5,13
FC Pau,8,0,5,3,8,10,-2,5,14
SC Bastia,8,0,5,3,7,9,-2,5,15
Rodez AF,8,0,4,4,10,11,-1,4,16
Laval,8,0,4,4,11,13,-2,4,17
St Etienne,8,0,4,4,9,12,-3,4,18
Nimes Olympique,8,0,3,5,4,16,-12,3,19
Chamois Niortais,8,0,1,7,4,16,-12,1,20
Havre AC,9,9,0,0,15,7,8,27,1
Bordeaux,9,5,3,1,16,5,11,18,2
FC Metz,9,5,2,2,15,11,4,17,3
Sochaux,9,4,4,1,13,10,3,16,4
Annecy,9,1,6,2,12,9,3,9,5
US Quevilly,9,1,5,3,14,12,2,8,6
Guingamp,9,1,5,3,9,10,-1,8,7
Grenoble,9,0,8,1,5,10,-5,8,8
Caen,9,0,7,2,14,15,-1,7,9
Amiens SC,9,0,7,2,7,13,-6,7,10
SC Bastia,9,0,6,3,8,10,-2,6,11
Valenciennes,9,0,6,3,7,14,-7,6,12
Paris FC,9,0,6,3,1,14,-13,6,13
Dijon,9,0,5,4,10,7,3,5,14
FC Pau,9,0,5,4,9,10,-1,5,15
Laval,9,0,4,5,12,14,-2,4,16
St Etienne,9,0,4,5,9,12,-3,4,17
Rodez AF,9,0,4,5,10,14,-4,4,18
Nimes Olympique,9,0,4,5,4,20,-16,4,19
Chamois Niortais,9,0,1,8,5,19,-14,1,20
Havre AC,10,10,0,0,17,8,9,30,1
FC Metz,10,6,2,2,18,12,6,20,2
Bordeaux,10,5,4,1,16,7,9,19,3
Sochaux,10,5,4,1,15,10,5,19,4
US Quevilly,10,2,5,3,16,13,3,11,5
Annecy,10,1,7,2,14,10,4,10,6
Grenoble,10,0,9,1,6,12,-6,9,7
Guingamp,10,1,5,4,9,13,-4,8,8
Caen,10,0,7,3,15,16,-1,7,9
SC Bastia,10,0,7,3,9,10,-1,7,10
Amiens SC,10,0,7,3,7,16,-9,7,11
Dijon,10,0,6,4,11,8,3,6,12
Valenciennes,10,0,6,4,7,17,-10,6,13
Paris FC,10,0,6,4,3,14,-11,6,14
FC Pau,10,0,5,5,10,13,-3,5,15
St Etienne,10,0,4,6,10,12,-2,4,16
Laval,10,0,4,6,14,18,-4,4,17
Rodez AF,10,0,4,6,11,16,-5,4,18
Nimes Olympique,10,0,4,6,5,22,-17,4,19
Chamois Niortais,10,0,1,9,7,22,-15,1,20
Havre AC,11,11,0,0,20,8,12,33,1
FC Metz,11,7,2,2,18,12,6,23,2
Bordeaux,11,6,4,1,18,8,10,22,3
Sochaux,11,5,5,1,16,14,2,20,4
US Quevilly,11,2,6,3,19,14,5,12,5
Annecy,11,1,8,2,14,13,1,11,6
Grenoble,11,0,10,1,8,15,-7,10,7
Dijon,11,1,6,4,12,8,4,9,8
Guingamp,11,1,5,5,12,15,-3,8,9
SC Bastia,11,0,8,3,10,11,-1,8,10
Caen,11,0,8,3,15,18,-3,8,11
Amiens SC,11,0,8,3,7,16,-9,8,12
Paris FC,11,0,7,4,5,15,-10,7,13
Valenciennes,11,0,7,4,7,19,-12,7,14
FC Pau,11,0,6,5,11,14,-3,6,15
St Etienne,11,0,5,6,14,12,2,5,16
Laval,11,0,5,6,15,19,-4,5,17
Nimes Olympique,11,0,5,6,5,22,-17,5,18
Rodez AF,11,0,4,7,12,22,-10,4,19
Chamois Niortais,11,0,1,10,7,26,-19,1,20
Havre AC,12,12,0,0,22,8,14,36,1
Bordeaux,12,7,4,1,18,9,9,25,2
FC Metz,12,7,3,2,20,13,7,24,3
Sochaux,12,6,5,1,17,16,1,23,4
US Quevilly,12,2,7,3,20,14,6,13,5
Grenoble,12,1,10,1,12,15,-3,13,6
Annecy,12,1,9,2,16,16,0,12,7
SC Bastia,12,1,8,3,13,12,1,11,8
Caen,12,1,8,3,15,19,-4,11,9
Amiens SC,12,1,8,3,9,16,-7,11,10
Dijon,12,1,7,4,15,8,7,10,11
Guingamp,12,1,6,5,13,17,-4,9,12
Paris FC,12,0,8,4,6,16,-10,8,13
Valenciennes,12,0,8,4,7,21,-14,8,14
FC Pau,12,0,7,5,12,17,-5,7,15
Laval,12,0,6,6,17,23,-6,6,16
Nimes Olympique,12,0,6,6,6,27,-21,6,17
St Etienne,12,0,5,7,14,13,1,5,18
Rodez AF,12,0,5,7,14,25,-11,5,19
Chamois Niortais,12,0,2,10,8,29,-21,2,20
Havre AC,13,13,0,0,27,8,19,39,1
Bordeaux,13,8,4,1,19,9,10,28,2
Sochaux,13,7,5,1,21,16,5,26,3
FC Metz,13,7,4,2,20,14,6,25,4
US Quevilly,13,3,7,3,21,14,7,16,5
Annecy,13,2,9,2,19,17,2,15,6
Grenoble,13,1,11,1,13,15,-2,14,7
Guingamp,13,2,6,5,16,17,-1,12,8
SC Bastia,13,1,9,3,15,15,0,12,9
Caen,13,1,9,3,15,21,-6,12,10
Amiens SC,13,1,9,3,9,17,-8,12,11
Dijon,13,1,8,4,16,9,7,11,12
Paris FC,13,0,9,4,7,17,-10,9,13
Valenciennes,13,0,9,4,7,21,-14,9,14
FC Pau,13,0,8,5,13,20,-7,8,15
Laval,13,0,7,6,18,25,-7,7,16
St Etienne,13,0,6,7,16,16,0,6,17
Rodez AF,13,0,6,7,15,27,-12,6,18
Nimes Olympique,13,0,6,7,6,29,-23,6,19
Chamois Niortais,13,0,2,11,8,30,-22,2,20
Havre AC,14,14,0,0,27,9,18,42,1
Bordeaux,14,9,4,1,21,10,11,31,2
FC Metz,14,8,4,2,22,16,6,28,3
Sochaux,14,7,6,1,23,16,7,27,4
Annecy,14,3,9,2,20,17,3,18,5
US Quevilly,14,3,8,3,23,14,9,17,6
Grenoble,14,1,12,1,13,16,-3,15,7
Guingamp,14,2,7,5,17,17,0,13,8
Caen,14,1,10,3,17,21,-4,13,9
Amiens SC,14,1,10,3,10,20,-10,13,10
Dijon,14,1,9,4,17,11,6,12,11
SC Bastia,14,1,9,4,16,17,-1,12,12
Valenciennes,14,0,10,4,7,21,-14,10,13
FC Pau,14,0,9,5,14,21,-7,9,14
Paris FC,14,0,9,5,7,18,-11,9,15
Laval,14,0,8,6,21,27,-6,8,16
St Etienne,14,0,7,7,16,17,-1,7,17
Rodez AF,14,0,7,7,16,29,-13,7,18
Nimes Olympique,14,0,6,8,6,30,-24,6,19
Chamois Niortais,14,0,3,11,8,32,-24,3,20
Havre AC,15,15,0,0,30,9,21,45,1
Bordeaux,15,10,4,1,23,11,12,34,2
FC Metz,15,9,4,2,28,17,11,31,3
Sochaux,15,8,6,1,24,16,8,30,4
Annecy,15,3,10,2,22,17,5,19,5
US Quevilly,15,3,9,3,24,15,9,18,6
Grenoble,15,1,13,1,13,16,-3,16,7
Guingamp,15,2,8,5,18,18,0,14,8
Caen,15,1,11,3,18,22,-4,14,9
Amiens SC,15,1,11,3,11,21,-10,14,10
Dijon,15,1,10,4,19,12,7,13,11
SC Bastia,15,1,9,5,17,18,-1,12,12
Valenciennes,15,0,11,4,7,22,-15,11,13
Paris FC,15,0,10,5,8,21,-13,10,14
Laval,15,0,9,6,22,28,-6,9,15
FC Pau,15,0,9,6,15,23,-8,9,16
Rodez AF,15,0,8,7,16,29,-13,8,17
St Etienne,15,0,7,8,16,21,-5,7,18
Nimes Olympique,15,0,7,8,7,30,-23,7,19
Chamois Niortais,15,0,3,12,9,35,-26,3,20
Havre AC,16,16,0,0,30,9,21,48,1
Bordeaux,16,11,4,1,23,11,12,37,2
FC Metz,16,10,4,2,29,18,11,34,3
Sochaux,16,9,6,1,26,16,10,33,4
Annecy,16,3,11,2,24,17,7,20,5
US Quevilly,16,3,10,3,25,16,9,19,6
Grenoble,16,2,13,1,14,16,-2,19,7
Guingamp,16,2,9,5,20,20,0,15,8
Caen,16,1,12,3,19,22,-3,15,9
Amiens SC,16,1,12,3,12,23,-11,15,10
Dijon,16,1,11,4,19,13,6,14,11
SC Bastia,16,1,10,5,18,19,-1,13,12
Paris FC,16,0,11,5,8,21,-13,11,13
Valenciennes,16,0,11,5,8,22,-14,11,14
St Etienne,16,1,7,8,18,22,-4,10,15
FC Pau,16,0,10,6,17,23,-6,10,16
Laval,16,0,9,7,24,31,-7,9,17
Rodez AF,16,0,8,8,16,31,-15,8,18
Nimes Olympique,16,0,8,8,9,30,-21,8,19
Chamois Niortais,16,0,3,13,9,36,-27,3,20
Havre AC,17,17,0,0,31,10,21,51,1
Bordeaux,17,11,5,1,24,14,10,38,2
FC Metz,17,11,4,2,31,19,12,37,3
Sochaux,17,10,6,1,30,16,14,36,4
US Quevilly,17,4,10,3,25,18,7,22,5
Annecy,17,3,12,2,24,18,6,21,6
Grenoble,17,2,13,2,15,17,-2,19,7
Amiens SC,17,2,12,3,13,23,-10,18,8
Guingamp,17,2,10,5,21,22,-1,16,9
SC Bastia,17,2,10,5,18,21,-3,16,10
Caen,17,1,13,3,19,23,-4,16,11
Dijon,17,1,12,4,22,14,8,15,12
Valenciennes,17,0,12,5,9,22,-13,12,13
Paris FC,17,0,12,5,8,23,-15,12,14
St Etienne,17,1,8,8,20,25,-5,11,15
FC Pau,17,0,11,6,17,23,-6,11,16
Laval,17,0,9,8,24,32,-8,9,17
Nimes Olympique,17,0,9,8,9,30,-21,9,18
Rodez AF,17,0,8,9,16,35,-19,8,19
Chamois Niortais,17,0,4,13,10,38,-28,4,20
Havre AC,18,18,0,0,33,10,23,54,1
Bordeaux,18,12,5,1,24,14,10,41,2
FC Metz,18,12,4,2,32,19,13,40,3
Sochaux,18,10,7,1,31,16,15,37,4
US Quevilly,18,5,10,3,26,19,7,25,5
Annecy,18,3,13,2,27,18,9,22,6
Grenoble,18,3,13,2,16,18,-2,22,7
Amiens SC,18,2,12,4,13,24,-11,18,8
Guingamp,18,2,11,5,23,22,1,17,9
SC Bastia,18,2,11,5,18,21,-3,17,10
Caen,18,1,14,3,20,23,-3,17,11
Dijon,18,1,13,4,22,14,8,16,12
Valenciennes,18,0,13,5,11,23,-12,13,13
Paris FC,18,0,13,5,10,24,-14,13,14
St Etienne,18,1,9,8,20,25,-5,12,15
FC Pau,18,0,11,7,17,25,-8,11,16
Laval,18,0,10,8,24,34,-10,10,17
Nimes Olympique,18,0,10,8,10,31,-21,10,18
Rodez AF,18,0,9,9,17,36,-19,9,19
Chamois Niortais,18,0,5,13,11,40,-29,5,20
Havre AC,19,19,0,0,37,10,27,57,1
Bordeaux,19,13,5,1,27,15,12,44,2
FC Metz,19,12,5,2,34,20,14,41,3
Sochaux,19,11,7,1,31,17,14,40,4
US Quevilly,19,5,11,3,27,19,8,26,5
Annecy,19,3,14,2,29,18,11,23,6
Grenoble,19,3,14,2,18,18,0,23,7
Amiens SC,19,3,12,4,13,27,-14,21,8
Guingamp,19,2,12,5,24,22,2,18,9
SC Bastia,19,2,12,5,20,22,-2,18,10
Caen,19,1,15,3,21,24,-3,18,11
Dijon,19,1,14,4,23,15,8,17,12
Valenciennes,19,0,14,5,12,23,-11,14,13
Paris FC,19,0,14,5,10,27,-17,14,14
St Etienne,19,1,9,9,21,27,-6,12,15
FC Pau,19,0,12,7,17,28,-11,12,16
Nimes Olympique,19,0,11,8,11,31,-20,11,17
Laval,19,0,10,9,24,36,-12,10,18
Rodez AF,19,0,10,9,17,37,-20,10,19
Chamois Niortais,19,0,5,14,12,43,-31,5,20
Havre AC,20,20,0,0,38,11,27,60,1
Bordeaux,20,14,5,1,28,15,13,47,2
Sochaux,20,12,7,1,34,19,15,43,3
FC Metz,20,12,6,2,34,21,13,42,4
US Quevilly,20,6,11,3,28,21,7,29,5
Annecy,20,4,14,2,31,20,11,26,6
Grenoble,20,3,15,2,21,19,2,24,7
Amiens SC,20,3,13,4,13,28,-15,22,8
Caen,20,2,15,3,24,24,0,21,9
Guingamp,20,2,13,5,27,25,2,19,10
SC Bastia,20,2,13,5,23,23,0,19,11
Dijon,20,1,14,5,24,16,8,17,12
Valenciennes,20,0,15,5,13,24,-11,15,13
Paris FC,20,0,15,5,11,28,-17,15,14
FC Pau,20,0,13,7,17,29,-12,13,15
St Etienne,20,1,9,10,21,27,-6,12,16
Nimes Olympique,20,0,12,8,11,31,-20,12,17
Laval,20,0,11,9,25,37,-12,11,18
Rodez AF,20,0,10,10,18,38,-20,10,19
Chamois Niortais,20,0,5,15,13,47,-34,5,20
Havre AC,21,21,0,0,39,11,28,63,1
Bordeaux,21,15,5,1,28,16,12,50,2
Sochaux,21,13,7,1,34,21,13,46,3
FC Metz,21,13,6,2,34,24,10,45,4
US Quevilly,21,6,12,3,31,22,9,30,5
Annecy,21,5,14,2,31,20,11,29,6
Grenoble,21,4,15,2,23,19,4,27,7
Amiens SC,21,3,14,4,15,29,-14,23,8
Caen,21,2,15,4,25,25,0,21,9
Guingamp,21,2,14,5,29,28,1,20,10
SC Bastia,21,2,14,5,24,23,1,20,11
Dijon,21,1,15,5,27,17,10,18,12
Valenciennes,21,0,16,5,14,24,-10,16,13
St Etienne,21,2,9,10,25,27,-2,15,14
Paris FC,21,0,15,6,11,29,-18,15,15
FC Pau,21,0,14,7,17,30,-13,14,16
Nimes Olympique,21,0,13,8,13,32,-19,13,17
Laval,21,0,12,9,25,38,-13,12,18
Rodez AF,21,0,11,10,19,38,-19,11,19
Chamois Niortais,21,0,5,16,15,49,-34,5,20
Havre AC,22,22,0,0,40,12,28,66,1
Bordeaux,22,16,5,1,28,16,12,53,2
Sochaux,22,14,7,1,37,22,15,49,3
FC Metz,22,14,6,2,35,25,10,48,4
US Quevilly,22,6,13,3,31,23,8,31,5
Annecy,22,5,15,2,32,22,10,30,6
Grenoble,22,4,16,2,23,20,3,28,7
Amiens SC,22,4,14,4,17,29,-12,26,8
Caen,22,3,15,4,25,25,0,24,9
SC Bastia,22,2,15,5,27,23,4,21,10
Guingamp,22,2,15,5,29,29,0,21,11
Dijon,22,1,16,5,27,20,7,19,12
Valenciennes,22,0,17,5,17,25,-8,17,13
St Etienne,22,2,10,10,26,29,-3,16,14
Paris FC,22,0,15,7,12,30,-18,15,15
FC Pau,22,0,14,8,17,30,-13,14,16
Nimes Olympique,22,0,14,8,15,34,-19,14,17
Laval,22,0,12,10,25,40,-15,12,18
Rodez AF,22,0,12,10,21,39,-18,12,19
Chamois Niortais,22,0,6,16,15,50,-35,6,20
Havre AC,23,23,0,0,41,12,29,69,1
Bordeaux,23,16,6,1,29,16,13,54,2
Sochaux,23,15,7,1,40,22,18,52,3
FC Metz,23,14,7,2,39,27,12,49,4
US Quevilly,23,6,14,3,33,25,8,32,5
Annecy,23,5,16,2,33,24,9,31,6
Grenoble,23,4,17,2,25,21,4,29,7
Amiens SC,23,4,15,4,17,30,-13,27,8
Caen,23,3,16,4,25,26,-1,25,9
SC Bastia,23,2,16,5,29,24,5,22,10
Guingamp,23,2,15,6,30,31,-1,21,11
Dijon,23,1,16,6,28,23,5,19,12
St Etienne,23,2,11,10,27,30,-3,17,13
Valenciennes,23,0,17,6,18,25,-7,17,14
Paris FC,23,0,16,7,12,31,-19,16,15
Laval,23,1,12,10,27,42,-15,15,16
Nimes Olympique,23,0,15,8,15,36,-21,15,17
FC Pau,23,0,14,9,17,32,-15,14,18
Rodez AF,23,0,12,11,21,41,-20,12,19
Chamois Niortais,23,0,7,16,16,51,-35,7,20
Havre AC,24,24,0,0,41,12,29,72,1
Bordeaux,24,17,6,1,30,17,13,57,2
Sochaux,24,15,8,1,42,23,19,53,3
FC Metz,24,15,7,2,41,28,13,52,4
US Quevilly,24,7,14,3,34,27,7,35,5
Annecy,24,5,17,2,37,24,13,32,6
Grenoble,24,4,18,2,25,21,4,30,7
Amiens SC,24,4,16,4,19,32,-13,28,8
Caen,24,3,17,4,28,27,1,26,9
SC Bastia,24,2,17,5,29,27,2,23,10
Guingamp,24,2,16,6,32,32,0,22,11
Dijon,24,1,17,6,29,23,6,20,12
Paris FC,24,1,16,7,14,31,-17,19,13
St Etienne,24,2,12,10,29,30,-1,18,14
Valenciennes,24,0,17,7,18,27,-9,17,15
Laval,24,1,13,10,28,43,-15,16,16
Nimes Olympique,24,0,16,8,16,37,-21,16,17
FC Pau,24,0,15,9,18,33,-15,15,18
Rodez AF,24,0,13,11,23,42,-19,13,19
Chamois Niortais,24,0,8,16,19,52,-33,8,20
Havre AC,25,25,0,0,43,13,30,75,1
Bordeaux,25,18,6,1,31,18,13,60,2
Sochaux,25,16,8,1,45,23,22,56,3
FC Metz,25,15,8,2,42,29,13,53,4
US Quevilly,25,8,14,3,37,28,9,38,5
Annecy,25,5,18,2,37,25,12,33,6
Grenoble,25,4,19,2,25,23,2,31,7
Caen,25,4,17,4,29,28,1,29,8
Amiens SC,25,4,17,4,19,33,-14,29,9
SC Bastia,25,2,18,5,30,27,3,24,10
Guingamp,25,2,17,6,33,33,0,23,11
Dijon,25,1,18,6,30,25,5,21,12
Paris FC,25,1,17,7,17,32,-15,20,13
St Etienne,25,2,13,10,32,32,0,19,14
Valenciennes,25,0,18,7,19,29,-10,18,15
Laval,25,1,14,10,30,45,-15,17,16
FC Pau,25,0,16,9,18,34,-16,16,17
Nimes Olympique,25,0,16,9,17,40,-23,16,18
Rodez AF,25,0,14,11,25,45,-20,14,19
Chamois Niortais,25,0,9,16,21,52,-31,9,20
Havre AC,26,26,0,0,43,14,29,78,1
Bordeaux,26,19,6,1,34,18,16,63,2
Sochaux,26,17,8,1,49,25,24,59,3
FC Metz,26,15,9,2,42,30,12,54,4
US Quevilly,26,8,15,3,39,31,8,39,5
Annecy,26,5,19,2,38,28,10,34,6
Grenoble,26,5,19,2,29,26,3,34,7
Caen,26,4,18,4,31,29,2,30,8
Amiens SC,26,4,18,4,21,36,-15,30,9
SC Bastia,26,2,19,5,30,29,1,25,10
Guingamp,26,2,17,7,34,35,-1,23,11
Dijon,26,1,18,7,31,27,4,21,12
Valenciennes,26,1,18,7,19,31,-12,21,13
Paris FC,26,1,18,7,17,32,-15,21,14
St Etienne,26,2,14,10,32,32,0,20,15
Laval,26,1,14,11,31,45,-14,17,16
FC Pau,26,0,17,9,18,35,-17,17,17
Nimes Olympique,26,0,16,10,17,41,-24,16,18
Rodez AF,26,0,15,11,25,46,-21,15,19
Chamois Niortais,26,0,9,17,21,56,-35,9,20
Havre AC,27,26,1,0,45,14,31,79,1
Bordeaux,27,20,6,1,36,19,17,66,2
Sochaux,27,18,8,1,51,26,25,62,3
FC Metz,27,15,9,3,42,31,11,54,4
US Quevilly,27,8,15,4,39,31,8,39,5
Grenoble,27,6,19,2,32,26,6,37,6
Annecy,27,5,19,3,39,28,11,34,7
Amiens SC,27,5,18,4,21,39,-18,33,8
Caen,27,4,19,4,32,30,2,31,9
SC Bastia,27,2,19,6,31,31,0,25,10
Guingamp,27,2,17,8,35,37,-2,23,11
Valenciennes,27,1,19,7,20,31,-11,22,12
Paris FC,27,1,19,7,17,33,-16,22,13
St Etienne,27,2,15,10,33,33,0,21,14
Dijon,27,1,18,8,31,29,2,21,15
FC Pau,27,0,18,9,18,35,-17,18,16
Laval,27,1,14,12,34,47,-13,17,17
Nimes Olympique,27,0,16,11,18,43,-25,16,18
Rodez AF,27,0,15,12,25,48,-23,15,19
Chamois Niortais,27,0,9,18,21,58,-37,9,20
Havre AC,28,26,2,0,49,15,34,80,1
Bordeaux,28,20,7,1,36,20,16,67,2
Sochaux,28,19,8,1,52,27,25,65,3
FC Metz,28,15,10,3,42,33,9,55,4
US Quevilly,28,8,15,5,39,35,4,39,5
Grenoble,28,6,20,2,33,28,5,38,6
Amiens SC,28,6,18,4,24,39,-15,36,7
Annecy,28,5,19,4,39,32,7,34,8
Caen,28,4,20,4,33,31,2,32,9
SC Bastia,28,2,19,7,31,33,-2,25,10
St Etienne,28,3,15,10,39,34,5,24,11
Guingamp,28,2,17,9,37,38,-1,23,12
Valenciennes,28,1,20,7,23,32,-9,23,13
Paris FC,28,1,20,7,18,33,-15,23,14
Dijon,28,1,18,9,31,31,0,21,15
FC Pau,28,0,19,9,19,35,-16,19,16
Laval,28,1,15,12,36,49,-13,18,17
Nimes Olympique,28,0,16,12,18,44,-26,16,18
Rodez AF,28,0,15,13,26,51,-25,15,19
Chamois Niortais,28,0,10,18,25,60,-35,10,20
